描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                房屋一室精装修，配有品牌家具家电，空调冰箱全自动洗衣机热水器，落地窗，交通方便，高铁站前，小区门口公交直达避暑山庄，小区周边饭店小吃超市齐全
            ",198,普通公寓,整租,2人,50平米,承德,双桥区,0,,,100.00%,100.00%,87.70%,5,3,100%,16 晚
"
                仁者爱山，智者爱水。在这个四面环山，一水贯穿的城市，我们将相遇结缘。自家的房子，精装修电视宽带都有，厨房卫生间各种电器齐全！安全考虑厨房没接天然气，有电磁炉可以用！
            ",158,小区住宅,整租,2人,60平米,承德,双桥区,0,,,100.00%,88.90%,100.00%,1,5,100%,18 晚
"
                小区位于高速口附近，地处大学城开发区和避暑山庄中间地段，环境优美，处于闹市却又脱离闹市的喧嚣。屋内装修结合了北欧的简约舒适与现代的时尚。北欧风格的家具，崇尚原木韵味的同时又不失实用与精美，满足了现代都市人的既想亲近自然，又注重环保与时尚的需要。红色的窗帘张扬而不夸张，带滑轮的推拉门造型、铝合金与钢化玻璃的结合，让您感觉现代风格的前卫且不拘束，简单的饰品与壁画装饰，整体纯净的色彩，配备齐全的生活必须设施和厨具，不论是游玩的一家人还是情侣，都能感受到家一样的舒适。
小区依山傍水，远离街道，居住很安静。紧邻开发区大学城和奥体中心，距离市区避暑山庄等景点仅十几分钟车程，无论是休闲还是游玩都是理想的住地。

            ",438,小区住宅,整租,3人,90平米,承德,双桥区,0,,,100.00%,100.00%,85.30%,8,4.375,100%,16 晚
"
                距离山庄5分钟车程，楼下饭店超市，免费停车，购物方便，一次性洗漱品，24小时热水，百兆光纤，干净整洁.屋里大床，衣柜独立卫生间，本小区多套房源，总有您喜欢的一套，价钱最美丽，两个卧室都有空调，屋内温馨舒适，是您旅游选择的第二家。
            ",168,普通公寓,整租,4人,65平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,3,5,100%,48 晚
"
                本套房源位于避暑山庄对面，步行只需五分钟即可到达山庄景区，房间南北通透，采光极好，即热式热水器为您送来源源不断的热水，赶走旅途的疲劳，周边超市，银行，公交站点，小吃，应有尽有。
            ",188,普通公寓,整租,4人,65平米,承德,双桥区,0,,,100.00%,100.00%,96.70%,1,0,100%,20 晚
"
                精装修，干净整洁，两居室，一客一换，24小时热水，免费停车，免费，上网
            ",168,小区住宅,整租,4人,75平米,承德,双桥区,1, 房子很干净，房东姐姐也很热心，非常不错，有机会再来还会选这里,5,100.00%,100.00%,90.00%,3,3.333,100%,32 晚
"
                避暑山庄门前，步行到山庄丽正门及德汇门均需3-5分钟，去大佛寺乘车5-10分钟，棒槌山5分钟，周边有大型超市，商场，影院，小吃街，情人街等娱乐休闲，餐饮，购物一体化活动中心，出门就是公交车站，交通便利，家庭式住宿，可以洗衣，做饭，适合家庭出游，聚会，出差办公住宿简约大方的装修风格，室内宽敞，明亮，配备舒适的大床和床垫，相信您一定会有家的感觉，独立的卫生间，配有24小时即热式热水器，让你无论何时都能冲上一个热水澡，配名牌洗发水和沐浴露及电吹风，衣柜，沙发，电视，电脑一应俱全，并配有全自动洗衣机，居家旅游每天都清清爽爽，干干净净
            ",398,小区住宅,整租,4人,50平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,2,2.5,100%,24 晚
"
                在一段不一样的旅途中，人家结识不同的朋友。人生不仅要有一场说走就走的旅行，也要学会停下脚步，一处安静，温馨，让心灵歇息，让灵魂
放任……屋内两室一厅一卫。南北通透。电梯新房干净整洁，两张一米8×2米的大双人床。上下铺床尺寸一米五双人床，上铺是1,1米。24小时热水无线wifi数字电视。空调。
            ",488,小区住宅,整租,7人,90平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,36,4.861,100%,20 晚
"
                亲朋好友同屋而居，享受家一般的温暖，开阔的视野，随处可望的草原，让你感受天高云淡，凉风习习！即便身处阳台，也没有房屋的遮挡，抬眼就可看见草原就在脚下！
            ",359,小区住宅,整租,6人,100平米,承德,围场满族蒙古族自治县,0,,,100.00%,100.00%,100.00%,1,0,100%,34 晚
"
                有三部空调的大三居室的中式雅居 南北通透 大飘窗 阳光充沛  交通便捷 背靠青山 左依青山 彻底感受山城的味道  与自然和谐气息 炎热的夏季也能感受到山风徐来的凉爽宜人  免费停车 电梯 Wi-Fi 热水器 净水设备
            ",598,普通公寓,整租,8人,126平米,承德,双桥区,1, 环境不错干净整洁。光线很好。旁边有山，有台阶上着不费劲。进出门再小区外边，出入方便,5,100.00%,100.00%,80.00%,1,5,100%,42 晚
"
                房间描述:房间装修风格简约，现代，干净，房间内各种设施齐全，小区绿化规整，24小时安保。 交通便利，步行三分钟既可到达武烈河，北邻九华山，南邻僧冠峰，距离避暑山庄仅10分钟车程。小区周边餐饮，超市，社区门诊遍布！
            ",228,小区住宅,整租,4人,88平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,1,0,100%,34 晚
"
                承德原生态两层别墅，坐落在美地湾前行30米右拐大枣树院内。楼上两个家庭房，每个房间两室一厅一卫，可居住四人并设有厨房。
楼下四个房间，每个标间可居住2～3人。
设施齐全，空调～淋浴～wf～电视。环境优雅，居住安静。面朝僧官帽，南靠魁星楼。交通便利，离火车站很近。乘坐6路9路公交车15分钟可到达避暑山庄。院内果蔬自摘，设有停车场，是您旅游度假的选择。
            ",198,农家乐,单间,4人,30平米,承德,双桥区,1, 周围环境很好，青山绿树，室内很干净，房东人很好，很热情，跟在自己家里一样，还能烧烤哦！！！,5,100.00%,100.00%,100.00%,2,5,100%,32 晚
"
                高层电梯房环境好，精装修每个房间都有不同的设计让您感受不一样的居住理念，主卧粉色的帷帐，白色银线线帘温馨浪漫，空调，24小时热水，免费停车,免费wifi 。
            ",1598,普通公寓,整租,14人,156平米,承德,双桥区,1, 非常满意的一次经历，房间干净整洁。房东真是太好了，因为堵车比预计时间晚了快四个小时，房东一直很耐心的等待还一直强调让注意安全。谢谢，下次再来还会入住！,5,100.00%,75.00%,80.00%,7,4.957,100%,18 晚
"
                高层电梯房环境好，精装修每个房间都有不同的设计让您感受不一样的居住理念，主卧粉色的帷帐，白色银线线帘温馨浪漫，每个房间都有不同特色的贴图新颖别致，空调，24小时热水，免费停车,免费wifi 。
            ",1598,普通公寓,整租,14人,156平米,承德,双桥区,1, 房东热情??，房子干净我们住了11人，两个卫生间，很舒适。楼下还有早市，买水果好方便。,5,100.00%,75.00%,80.00%,7,4.957,100%,18 晚
"
                简欧温馨风格民宿，让您在异乡享受家的舒适与放松，距离避暑山庄直线距离500米，下楼便是公交站点，步行2分钟可到达本市的集特色餐饮、娱乐、服饰、超市于一体的购物中心——金龙购物中心！距离特色小吃街仅200米，步行3分钟即到承德的护城河畔——武烈河，是众多家庭出游，商务出差人士的不二选择！
            ",418,小区住宅,整租,5人,65平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,0,100%,20 晚
"
                房间干净卫生，一楼正房。景区附近，交通方便。
            ",400,小区住宅,整租,6人,80平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,5,100%,24 晚
"
                房间简约风格，全新配套设施，每个房间配有空调，电脑，电视，配有全自动洗衣机，饮水机供客人免费使用，床单被罩一客一换，免费WiFi，免费停车！交通方便！距离各大景区都很近，市区免费车接车送，是您出行旅游心仪所选！
            ",358,普通公寓,整租,7人,72平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,2,0,100%,22 晚
"
                置身于景区内^_^ 周围饭店医院银行加油站娱乐设施一应俱全。
            ",398,普通公寓,整租,6人,98平米,承德,围场满族蒙古族自治县,0,,,100.00%,100.00%,80.00%,1,0,100%,58 晚
"
                房型是两室无厅，一间是中式简约风格，1.8宽米大床，另有大阳台，设有简易饭桌，可以吃饭，休闲。能看到外面承德的御路，西大街。另一间是日式风格榻榻米，设置宽敞，2.7米的宽度，足以睡下4到5人，屋子里日式装修的风格，您一定会喜欢。透过窗户您会看到承德民族中学和头牌楼小学宽阔的操场，夏天的凉风吹来。您一定会很惬意！卫生间虽然不大，一应俱全，能满足您的需要，厨房明亮宽敞，用具齐全，可以满足您对美食的要求！超赞的位置还是满足您的基本需要，出了单元口，承德的连锁超市宽广超市离您只有20米的距离，里面经营面积几千平米，可以满足您的所有购物需求。周围饭店林立，景点密布。从建山庄之初，西大街就是承德的中心，留下了很多文化景点，城隍庙，承德文庙，头道牌楼，二道牌楼，三道牌楼，武庙都在这条街上。承德市井风貌也是最全的，承德的早市，的夜市，承德的步行街，地下商业街，民俗文化街都分布在这条街上，承德的特色小吃，的饮食餐点，都可以在这里找到，您熟知的避暑山庄宫墙离这只有几百米。外八庙开车也不过10多分钟左右，承德引以骄傲的帝苑梦华，承德印象演出和的实景演出康熙大典离这都不远，坐车都有公交直达，开车都在10多分钟左右，另外还为您提供特价票，价格低于实际价格，也会为您的出行提供导游建议，和超赞的行程价格！
            ",198,小区住宅,整租,6人,49平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,0,100%,16 晚
"
                公寓坐落在市中心，下楼周边有24小时餐饮。酒吧 ktv 超市。屋内配有两台i7 8700。1080电脑，骨灰级玩家的专属、您还在等什么！
            ",498,普通公寓,整租,2人,40平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,2,0,100%,22 晚
"
                公寓坐落在市中心，下楼周边有24小时餐饮。酒吧 ktv 超市。屋内配有两台i7 8700。1080电脑，骨灰级玩家的专属、您还在等什么！
            ",498,普通公寓,整租,2人,41平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,2,0,100%,22 晚
"
                日租房，小布达拉宫，避暑山庄，开车5分钟。南北通透，干净整洁。家电齐全。是您出行旅游居住的好选择
            ",298,小区住宅,整租,6人,80平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,0,100%,18 晚
"
                新房装修，干净整洁，一客一换，24小时热水，免费停车，免费上网，带电梯。
            ",168,小区住宅,整租,4人,65平米,承德,双桥区,2, 一楼无障碍，而且卫生确实不错，还可以打麻将，很凉快，交通也很方便，外边还一个小院子，房东人非常好，有地方停车+ 干净整洁，设施齐全，免费停车，房东也非常热情，非常满意，有机会再来！,5,100.00%,100.00%,90.00%,3,3.333,100%,20 晚
"
                房源坐北朝南，前后通透，清新凉爽，欧式大床房配备星级席梦思床垫，温馨舒适，每间都配有空调，让旅途劳累的您舒舒服服睡个好觉！大厅配备挂墙式55寸液晶电视，有线加免费wifi卫生间配有热水器和太阳能洗浴设备！无论是晴天或是阴天都能用上热水！
            ",398,小区住宅,整租,8人,98平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,0,100%,50 晚
"
                普宁路景区房，距离山庄，普宁寺，布达拉宫都很近，停车免费，新房子新装修，干净卫生！晚上比较凉爽，不喧闹，距离市中心10分钟车程！
            ",698,小区住宅,整租,6人,131平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,3,3.333,100%,18 晚
"
                房间客厅采用欧式装修风格 厅内设有高档沙发 餐桌 挂壁式液晶电视 百兆wife免费使用呦 卧室两张大床 软硬适中 温馨浪漫 让您美美的睡上一觉 屋内设有空调 用品一客一换 卫生间设施齐全 一次性洗漱 欢迎光临哦
            ",158,小区住宅,整租,4人,105平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,4,3.75,100%,16 晚
"
                欢迎您的光临，茫茫人海，远道而来，千里相会，您能选到我的家，是我们的缘分，有什么需要提前告诉我，我一定尽心极力为您准备。
干净卫生，宽敞明亮，独立厨房，独立卫生间，沙发，茶几，有线电视，宽带，绿植，环境温馨浪漫。距离避暑山庄15分钟车程，距离双塔山周边景区10分钟车程，楼下就是公交车 直达火车站和市中心，步行五分钟到达鼎盛王朝。
            ",168,小区住宅,整租,3人,67平米,承德,双滦区,0,,,100.00%,100.00%,100.00%,1,0,100%,20 晚
"
                房子是新房 都备有电视wifi洗衣机热水器可以做饭冰箱都是全新的 特别适合一家三口居住 离景点开车五分钟就可以到步行预计二十分钟也可以到 出行非常方便打车到景区价格也就～10元～

            ",328,小区住宅,整租,4人,75平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,5,100%,16 晚
"
                干净整洁，窗明几净。小区紧邻高速出口，环境好，室内设施齐全，床单被罩一客一换，整洁干净，厨房设施一应俱全，让您在游玩的城市有个温馨的家！
            ",228,小区住宅,整租,4人,94平米,承德,双滦区,0,,,100.00%,100.00%,80.00%,1,5,100%,26 晚
"
                高层电梯干净整洁，一次性洗漱用品，床上用品一客一换，小区安静有门禁，是您居家旅行居住的好住所！
            ",398,小区住宅,整租,6人,95平米,承德,双桥区,1, 非常满意 非常喜欢 ,5,100.00%,100.00%,80.00%,1,5,100%,24 晚
"
                高新小区，环境舒适。
            ",988,小区住宅,整租,11人,170平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,3,3.333,100%,18 晚
"
                温馨，干净，安静，停车方便
            ",228,小区住宅,整租,5人,93平米,承德,双桥区,3, 房东非常好，住的非常舒服，下次去承德还住这家。+ 不错，肃静休息好+ 干净，方便，离鼎盛王朝演出地点非常近！,5,100.00%,100.00%,100.00%,1,5,100%,28 晚
"
                精品装修；位置优越，环境安静，睡觉?杠杠香；可提供餐饮，用车（具体电话）。出来玩，就是玩心情！有不便之处尽可说话……跑腿儿，打杂儿，找道儿，订票都可搞定……个人小店欢迎您的光临！！
            ",568,小区住宅,整租,8人,150平米,承德,双桥区,0,,,100.00%,70.00%,100.00%,2,5,100%,38 晚
"
                躺在摇椅上，看天空繁星点点（阴天不算?）；沏杯淡茶，听田间虫鸣（保证没蚊子?）。
出来玩不仅买票的是风景，住我的小院，也是风景！?
另外，入住帮忙喂鱼……?欢迎
            ",528,小区住宅,整租,8人,150平米,承德,双桥区,1," 安静干净的小院 推荐家庭入住 有机会一定再次光顾
",5,100.00%,70.00%,100.00%,2,5,100%,40 晚
"
                位于避暑山庄对面600米，仅一街之隔，小区内有公共停车位，环境安静，周围有大型购物中心，商场，银行，药店，小区外有大型停车场，各种特色小吃；
房间干净整洁，电视，电脑，无线wifi，空调，24小时热水，床单被罩每客一换，免费提供一次性洗漱用具，洗发液，沐浴液。
            ",159,小区住宅,整租,4人,70平米,承德,双桥区,1, 很不错 ，环境很好 ，房东也很热情 。吃的 玩的地方都介绍的很好,5,100.00%,100.00%,80.00%,2,5,100%,24 晚
"
                《点开房东首页资料，不同风格房源很多》《可代订鼎盛王朝.康熙大典优惠门票》民宿位于繁华的锦绣大街！周围配套设施齐全，成熟社区，小区环境优美，绿树林荫，物业管理安全！楼下附近都可以免费停车！楼下就是广场，晚上可以带孩子老人去溜达，感受下承德人民慢节奏，养老式的休闲生活！9楼电梯房，免去老人，孩子，拎重大行李爬楼梯的不便！配有智能门锁，密码一客一换，安全方便放心！
下楼5分钟，左右两条街全是吃喝玩乐的地方，有夜市，餐馆，烧烤，银行，医院，诊所，宠物店等等，走8分钟就到宜家旺商场，游乐场，电影院，肯德基，都在附近，足不出户就可以点外卖，约车，出小区大道就是公交车站点，5路，15路25路，51路，58路都很方便。重要的可以一趟车去避暑山庄，双塔山景区，鼎盛王朝演出区，距离高速口5分钟车程，总之非常方便！
这套民宿，房东大大我设计了，美式乡村的田园风格！房间内部布局合理，装修用品都是绿色环保的大品牌的装修材料！品牌家电！房间以花为主，以彩色墙漆为辅，即体现出温馨又有浓厚的家庭氛围！房间所有的家具都是我亲手挑选的实木美式家具，既美观又时尚！灯具均采用美式水晶灯，非常华丽！客厅有立式空调，虽然承德一年四季能用上空调的时间不多，但也做了准备！海信智能电视可观看有线电视，也可以无线连接看网络电视！房间200兆光纤覆盖！开放式的美式厨房，宽敞明亮，还有双开门的冰箱！燃气热水器！热水壶，茶壶！主卧室墙面是水蓝色的色调，能让您进屋就可以感觉到瞬间凉爽的感觉！准备了1.8米的美式双人床，铺的是大品牌家纺的水洗棉床品，能让您有一个非常舒服的睡眠！房间窗帘配有一纱一布帘，带飘窗，可以享受阳光的灿烂，采光很棒！并准备了四开门的大衣柜，方便您存放衣物和行李！次卧室墙面为木瓜绿色，可以很好的放松眼睛，有个好的睡眠！1.5米的双人铁艺公主床，选用的是60支长绒棉，裸睡必备，柔软舒适，面料细腻有光泽！床头采用的蕾丝床幔，烂漫又可耐儿！并配备了写字台，让出差在外拿着电脑的房客们也能有个工作的天地！双开门衣柜，放行李衣服更方便！卫生间的洗漱台依然是美式款，九牧的花洒，水更流畅，还有干湿分离的浴室帘！大品牌的坐便器，滚筒洗衣机，纯棉的蓝色浴巾毛巾，吹风机等等都很齐全！
您一家人来到一个陌生的城市，我能做的就是要把Zui好的，舒服的，方便的，给你们就对啦！让您一家人即使出门在外，也能感受到家的温馨，舒适，无拘无束的自如感……
            ",198,小区住宅,整租,4人,93平米,承德,双滦区,0,,,100.00%,100.00%,98.20%,8,5,100%,22 晚
"
                木主题院落，屋内全部家具都是木质结构，其外观形体简朴对称，天然材色和纹理宜人。使整个房间充满自然味道和文化艺术气息。
            ",1880,小区住宅,整租,3人,268平米,承德,滦平县,0,,,100.00%,100.00%,80.00%,6,5,100%,16 晚
"
                屋内展陈着承德达鑫工艺品，包括银丝砂画、天木陈香、飞瀑流香石等。
在唐乡书院焚一炷香，弹奏一曲古筝，别有一番意境。
这里是一间非常古典的乡下民家小院。入目的是一方唐风短榻，向里面走去，就是一张梨花大床，房间内一张古琴，焚香洗手，惬意非常。
            ",1080,农家乐,整租,2人,135平米,承德,滦平县,0,,,100.00%,100.00%,80.00%,6,5,100%,24 晚
"
                民俗主题院落。该房坐北朝南，东西三间，是滦平传统民居的典型代表。
院内两颗30多年的老梨树，曾多年未开花结果，如今枝繁叶茂硕果累累。
树下一方石碾，留下历史的印记。
房窗之木作，一眼眼取意吉祥、万字格纹棂花点缀，诉说着工匠的审美和技艺。
            ",1580,小区住宅,单间,3人,140平米,承德,滦平县,0,,,100.00%,100.00%,80.00%,6,5,100%,42 晚
"
                房子的装修,让我爱上了家居设计,爱上了家居DIY,民宿就是我们实现家居设计梦想的载体,都没学过设计的我们,纯粹因为喜欢,精心设计布置公寓的每一处,做自己喜欢的事情,就会一步一步靠近梦想。
房子交通便利,位于裕华路南,周围有两个公交车站可以帮您到达承德任何您想到达的地方。房子距离火车站10分钟车程,紧邻避暑山庄,一南一北两个卧室和一个特别大的客厅,步行可到避暑山庄、双百购物、蓝岛购物等商场,步行5分钟到15分钟,房子附近有很多特色餐饮?您在入住期间所需要的一切信息(包括房屋简介、出行指南、餐厅推荐、旅游购物等),如有疑问,也欢迎随时(SENSITIVE CONTENTS HIDDEN)联系。
            ",358,小区住宅,整租,4人,85平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,1,5,100%,20 晚
"
                高端套房，经典时尚，配备齐全，温馨优雅风格为主调，主卧连接步入式唯美飘窗阔景阳台，倚窗观景，山水风景与避暑山庄水系相连的武烈河尽收眼底，浅色调让这个私密空间显得格外清新夺目，同时也弥散出丝丝宁谧的气息。卧室和床品以稳重，静谧的姿态静坐其中，让您久经尘世的疲惫身心在这抚慰与陶冶，或许这种美妙的意境也会由此渗透到主人的梦中。
            ",228,普通公寓,整租,4人,88平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,3,5,100%,20 晚
"
                【点开房东头像资料，看房东其他房源】
【可代订鼎盛、康熙大典、实景演出优惠门票】
【可代订木兰围场坝上草原两日游】
公寓位于繁华的中心大街，成熟社区，周边配套设施齐全，交通便利！这套民宿是房东众多民宿里其中的一套，设计的摩洛哥和美式的混搭风格，即浪漫随意又不失华丽的时尚！整个房间是两室两厅一厨一卫，南北通透的全明格局！空气流通，阳光充足，视野开阔！主卧墙面选用蓝色的美式墙面，搭配抖音网红科技地球灯，1.8米的美式丝绒双人床，金色落地衣架，美式的床头柜，豆沙色的丝绒窗帘，阳台有美式复古的茶桌，一本夏穆的画册，满阳台的绿植，床品选用高品质的60支长绒棉，手感柔软细腻光滑，光泽度非常好，裸睡必备，给您舒适奢华的享受！次卧室选用玫瑰红的色调，搭配摩洛哥的复古镂空1.8双人大床！床上配有浪漫的床纱，用彩色的绒球作为点缀！大胆的配了复古绿丝绒窗帘，加上卧室的灯光选用了摩洛哥纯手工打磨的镂空工艺灯，非常美，尤其是在打开灯的瞬间，灯光从镂空的位置，散落屋顶，简直美翻了！这还不算完，还有美式复古的留声机蓝牙音响，可以链接手机蓝牙，放音乐，让整个房间充满爱！金色落地衣架，复古床头桌！每个卧室都有冷暖空调！客厅选用灰色墙漆，美式水晶灯，墙壁做了美式框框！左边墙壁放了穆夏的画，右边墙壁放了2米长的了美式城堡画！沙发选用非常舒服的布艺沙发，搭配了摩洛哥抱枕，摩洛哥皮墩！一张墨绿色懒人沙发椅，美式落地台灯，美式复古工艺地毯，实木茶几，个性人头花瓶！50寸智能电视，200兆光纤，有线电视跟无线网络电视都可以观看！餐厅选用黑色复古4头射灯，可以照射在需要灯光的重要位置！实木餐桌椅配有摩洛哥桌旗，手工复古茶具，复古小众画，美式奢华的立体穿衣镜，美式穿鞋凳，摆放了凉拖鞋跟一次性拖鞋！仿真玫瑰花，橄榄球为房间增添了一抹绿色！厨房厨具齐全，冰箱，电磁炉，电饭煲，煤气灶，油烟机，蒸锅，炒锅，汤锅，奶锅，碗筷，刀具，菜板都很齐全，这里免费提供使用，可以给您大显身手的机会。但还请您做完饭后，收拾干净，勿回原位！以免增加保洁打扫时间和额外的费用，也会影响下一家房客入住时间，所以还请谅解，收拾干净！卫生间宽敞，全自动洗衣机，美式浴室柜，洗漱用品都在镜子里！一次性马桶贴，一次性牙具，牙缸，吹风机，洗头水，护发素，沐浴露都很齐全！还准备了浴室帘，马桶浴室柜干湿分离，九牧大花洒还有手持花洒，毛巾浴巾，浴花，木梳……一定会把超赞的留给您，也请您爱护房间设施，保持房间卫生，这里是您承德的家！
            ",198,小区住宅,整租,4人,87平米,承德,双滦区,0,,,100.00%,100.00%,98.20%,8,5,100%,26 晚
"
                三室一厅，豪华精装，三张席梦思大床，空调，无线，有线，全自动麻将机，炊事灶具一应俱全，网络液晶电视，可看上千频道，双卫生间，距避暑山庄步行仅5分钟。 
            ",200,小区住宅,整租,6人,100平米,承德,双桥区,2, 房间很干净，老板很热心。由于订的比较早，老板给忘记了，重新安排的新的住处。很贴心。+ 房间很干净,5,100.00%,100.00%,100.00%,1,5,100%,22 晚
"
                高端套房，经典时尚，配备齐全，温馨优雅风格为主调，主卧连接步入式唯美飘窗阔景阳台，倚窗观景，山水风景与避暑山庄水系相连的武烈河尽收眼底，浅色调让这个私密空间显得格外清新夺目，同时也弥散出丝丝宁谧的气息。卧室和床品以稳重，静谧的姿态静坐其中，让您久经尘世的疲惫身心在这抚慰与陶冶，或许这种美妙的意境也会由此渗透到主人的梦中。

   
            ",228,普通公寓,整租,4人,88平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,3,5,100%,32 晚
"
                三居室一厅一卫一阳台，两张1.8米的大床，一张单人床，可住7人，厨房灶具齐全，有冰箱电视洗衣机热水器．
            ",200,小区住宅,整租,5人,110平米,承德,双滦区,1, 第一次来承德，感觉城市很干净，环境也很好。最主要的是住的也很舒适。自驾很方便。房间干净，舒适，床上用品都是新换的，还有清洗过的清香味，感觉跟家里一样。下次还会预定。,5,100.00%,100.00%,100.00%,2,5,100%,18 晚
"
                此房型，位于 承德避暑山庄附近个人楼房  多套日租公寓 房间设施；空调 彩电！全天免费上网50兆光纤配备无线wifi 液晶电脑！饮水机 冰箱 洗衣机 沙发 24小时热水洗澡、3张双人床一个单人床  客厅加一个双人沙发床！独立卫生间 一次性洗漱用品等一应俱全！床单 被罩 浴巾 毛巾 每客一换一消毒 .
            ",458,普通公寓,整租,7人,118平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,11,4.964,100%,28 晚
"
                位于承德市双桥区西大街万华C区三室一厅新楼电梯房，同一个楼有多套三室，房间二张1.8米/2米席梦思大床，一张1.5米/2米席梦思双人床，床品一客一换，24小时热水，一次性洗漱用品，WIF覆盖房间；室内可看到避暑山庄内景点，楼下免费车位。交通便利开车到山庄正门（丽正门）仅2/3分钟，步行10多分钟，离各大景区都非常近。周边配套医院、银行、餐饮、超市等设施齐全。是您旅游、度假理想的选择！




            ",338,小区住宅,整租,7人,86平米,承德,双桥区,8, 房间整洁卫生，全天热水，房东特别的热情+ 房东服务周到#  全天热水#  房东热情好客#  房东是个活地图#  下次还住这#  + 环境非常好 ，卫生也很好，房东态度也很好+ 房东热情好客，环境优美，出行方便+ 第一次住民宿，房东非常热情，认真的给我们讲解了承德的景点分布和特色，出行注意事项，房间干净，通风，采光都无可挑剔，强烈推荐给大家。+ 房东很热情，房间的设施一般+ 房子很好，很新，干净，网络洗漱用品齐全，非常安静，房东人特好，推荐一下啊+ 房东热情，房间很好，但对于短租的很方便，交通也方便，超市十来分钟就到了，真方便！这房值得推荐！,5,100.00%,100.00%,100.00%,2,4.95,99%,26 晚
"
                承德心语公寓是以配合城市住宅资源于酒店服务理念，以自助为主、酒店服务为辅，为异地短期租房、商务考察、因公出差、自助旅游、探亲访友、同城小聚的人士提供酒店式公寓，让你在享受异地风光和生活的同时，还感受家一样的温馨舒适。
该房型为两室一厅，配有1.8m*2m和1.5m*2m两张大床和一张1m*2m单人床，可供5人居住。
房间内配备10兆光纤无线wifi，随时上网，还配有液晶电脑、空调、电视、饮水机、沙发、24小时热水洗澡，独立卫生间提供一次性牙具、拖鞋、浴巾、毛巾等，床单被褥1天一换洗并消毒。
            ",240,普通公寓,整租,5人,80平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,11,4.964,100%,36 晚
"
                本房是个新房，豪华装修。干净，舒适温馨。家电设施齐全，可以洗衣做饭，免费的有限电视，宽带上网。WiFi。床单被罩都是1天一换洗，一消毒的。还有一次性洗漱用品等，开车过2个红绿灯，就到达有名的避暑山庄。
            ",450,普通公寓,整租,5人,100平米,承德,双桥区,2, 房东很热情，并且给帮忙定了鼎盛时代的演出票。家里是房东自己住的，房东走时虽然留了自己的东西，但还算方便。总的来说还是很不错的，赞??+ 身边环境不错 小区管的也很好 推荐 价格不错 房东也很热心,4.9,100.00%,100.00%,92.50%,4,4.975,98%,32 晚
"
                屋内设置 空调 全天免费上网10兆光纤 液晶电脑 液晶数字电视 饮水机 沙发 24小时热水洗澡 2张双人床 加一个单人床 独立卫生间 一次性洗漱用品等一应俱全 床单 被罩 浴巾 毛巾 每客一换一消毒。是您出差 旅游 探亲 访友 聚会 情侣 度假 的**选择。小区交通方便，楼下有银行 邮局 大型超市 购物便捷。
            ",220,普通公寓,整租,4人,86平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,7,4.957,100%,16 晚
